__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041862.639464,6968.000000000,406.000000000,0.518821061,0.070682958,0.358366424,0.003582505
1784041862.649503,6969.000000000,418.000000000,0.518821061,0.070658989,0.057302001,0.002374343
1784041862.659549,6957.000000000,381.000000000,0.518821061,0.070778832,-0.178372663,0.000000000
1784041862.669497,7006.000000000,427.000000000,0.518821061,0.070754863,-0.118751234,0.000000000
1784041862.679370,6977.000000000,400.000000000,0.518773139,0.070754863,-0.121971065,-0.002417667
1784041862.689451,6973.000000000,395.000000000,0.518773139,0.070682958,-0.120361632,-0.002401663
1784041862.699649,6941.000000000,400.000000000,0.518845022,0.070682958,0.294024491,0.003544765
1784041862.709540,6885.000000000,342.000000000,0.518869042,0.070682958,0.357186715,0.004773914
1784041862.719605,6937.000000000,400.000000000,0.518845022,0.070754863,-0.177625923,0.000000000
1784041862.729519,6920.000000000,410.000000000,0.518773139,0.070778832,-0.479219153,-0.004800291
1784041862.739399,6918.000000000,427.000000000,0.518797100,0.070682958,-0.122320984,-0.002421133
1784041862.749483,6891.000000000,404.000000000,0.518821061,0.070682958,0.360679912,0.002400401
1784041862.759547,6905.000000000,443.000000000,0.518869042,0.070682958,0.297379629,0.003570626
1784041862.769629,6898.000000000,455.000000000,0.518893003,0.070754863,0.058116134,0.003571175
1784041862.779549,6887.000000000,462.000000000,0.518821061,0.070754863,-0.298451114,-0.002398889
1784041862.789468,6854.000000000,467.000000000,0.518821061,0.070754863,-0.362787982,-0.003626280
1784041862.799316,6863.000000000,479.000000000,0.518821061,0.070682958,0.121359458,0.000000000
1784041862.809465,6877.000000000,482.000000000,0.518869042,0.070682958,0.301323987,0.002399404
1784041862.819507,6786.000000000,403.000000000,0.518916965,0.070754863,0.235229449,0.004749675
1784041862.829470,6766.000000000,410.000000000,0.518916965,0.070754863,-0.000194679,0.002395509
1784041862.839472,6812.000000000,467.000000000,0.518821061,0.070754863,-0.478529303,-0.004803788
1784041862.849411,6817.000000000,482.000000000,0.518845022,0.070706926,-0.301050522,-0.003607767
1784041862.859418,6816.000000000,481.000000000,0.518845022,0.070706926,0.301065348,0.001201291
1784041862.869678,6781.000000000,474.000000000,0.518893003,0.070706926,0.294840787,0.002367563
1784041862.879593,6851.000000000,500.000000000,0.518916965,0.070754863,0.117196679,0.003565815
1784041862.889492,6812.000000000,466.000000000,0.518821061,0.070778832,-0.302721139,-0.003630774
1784041862.899403,6854.000000000,521.000000000,0.518821061,0.070778832,-0.424390999,-0.004841253
1784041862.909349,6785.000000000,446.000000000,0.518845022,0.070682958,0.243619334,0.001206700
1784041862.919503,6793.000000000,447.000000000,0.518845022,0.070682958,0.300172885,0.001192114
1784041862.929528,6823.000000000,485.000000000,0.518869042,0.070730895,-0.000809554,0.001190364
1784041862.939422,6819.000000000,467.000000000,0.518893003,0.070730895,0.061084559,0.002408853
1784041862.949419,6816.000000000,469.000000000,0.518797100,0.070754863,-0.241672356,-0.003616805
1784041862.959507,6838.000000000,447.000000000,0.518797100,0.070706926,-0.357650569,-0.004774764
1784041862.969682,6855.000000000,453.000000000,0.518797100,0.070682958,0.178495524,0.000000000
1784041862.979545,6828.000000000,430.000000000,0.518821061,0.070658989,0.297963119,0.001195788
1784041862.989523,6886.000000000,471.000000000,0.518845022,0.070730895,0.121736669,0.002415343
1784041862.999317,6843.000000000,434.000000000,0.518773139,0.070730895,-0.183066055,-0.002423760
1784041863.009370,6909.000000000,479.000000000,0.518773139,0.070730895,-0.304177907,-0.003621796
1784041863.019562,6854.000000000,403.000000000,0.518773139,0.070706926,0.119718152,0.000000000
1784041863.029784,6834.000000000,375.000000000,0.518773139,0.070706926,0.177422471,0.000000000
1784041863.039526,6885.000000000,449.000000000,0.518821061,0.070730895,0.120246663,0.002400516
1784041863.049572,6885.000000000,403.000000000,0.518845022,0.070730895,0.183578760,0.003632661
1784041863.059394,6885.000000000,420.000000000,0.518773139,0.070754863,-0.242227676,-0.002412039
1784041863.069441,6895.000000000,447.000000000,0.518773139,0.070706926,-0.364920234,-0.003617884
