__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041623.672603,7771.000000000,415.000000000,0.475845635,0.037942056,0.122235747,0.000000000
1784041623.682681,7796.000000000,406.000000000,0.475845635,0.037942056,0.059994583,0.000000000
1784041623.692739,7732.000000000,342.000000000,0.475893587,0.037918087,0.118264571,0.002381389
1784041623.702757,7773.000000000,388.000000000,0.475869626,0.037894119,0.059527958,0.001195043
1784041623.712740,7777.000000000,392.000000000,0.475845635,0.037894119,-0.238928265,-0.002397456
1784041623.722730,7749.000000000,389.000000000,0.475821674,0.037894119,-0.180036496,-0.002400833
1784041623.732791,7800.000000000,412.000000000,0.475821674,0.037918087,0.059969584,-0.001195006
1784041623.743007,7756.000000000,377.000000000,0.475845635,0.037942056,0.176673210,0.001181658
1784041623.752737,7765.000000000,377.000000000,0.475893587,0.037942056,0.240677339,0.003605453
1784041623.762717,7787.000000000,388.000000000,0.475845635,0.037894119,-0.059953455,0.000000000
1784041623.772751,7771.000000000,357.000000000,0.475845635,0.037894119,-0.299852745,-0.002395885
1784041623.783026,7796.000000000,418.000000000,0.475821674,0.037918087,-0.058089777,-0.001179785
1784041623.792806,7810.000000000,414.000000000,0.475821674,0.037989993,0.059891180,-0.001194750
1784041623.802829,7760.000000000,375.000000000,0.475845635,0.037966024,0.120684823,0.001210027
1784041623.812777,7771.000000000,396.000000000,0.475893587,0.037942056,0.240146565,0.003601020
1784041623.822771,7797.000000000,415.000000000,0.475869626,0.037894119,-0.000351605,0.001203015
1784041623.832749,7742.000000000,354.000000000,0.475821674,0.037894119,-0.360581579,-0.003600633
1784041623.842818,7760.000000000,364.000000000,0.475821674,0.037966024,-0.179321772,-0.002391925
1784041623.852857,7814.000000000,427.000000000,0.475845635,0.037966024,0.238325836,0.001191620
1784041623.862818,7768.000000000,397.000000000,0.475917548,0.037942056,0.359289131,0.004793765
1784041623.872746,7799.000000000,408.000000000,0.475869626,0.037894119,0.000734649,0.001206231
