__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
37.689661,51.752473000,5511.307192000,425.266502000,5511.000000000,424.000000000,5540.000000000,446.000000000,37.689661000
37.699643,51.752473000,5505.176473000,420.739852000,5510.000000000,423.500000000,5450.000000000,380.000000000,37.699643000
37.699663,51.751100000,5499.658826000,416.665867000,5509.000000000,423.000000000,5450.000000000,380.000000000,37.699663000
37.709864,51.751100000,5500.192943000,418.599280000,5507.000000000,423.500000000,5505.000000000,436.000000000,37.709864000
37.709897,51.751100000,5500.673649000,420.339352000,5505.000000000,424.000000000,5505.000000000,436.000000000,37.709897000
37.719711,51.751100000,5502.306284000,423.005417000,5507.000000000,425.000000000,5517.000000000,447.000000000,37.719711000
37.719746,51.751100000,5503.775655000,425.404875000,5509.000000000,426.000000000,5517.000000000,447.000000000,37.719746000
37.729681,51.751100000,5505.098090000,425.964388000,5510.000000000,426.000000000,5517.000000000,431.000000000,37.729681000
37.729702,51.751100000,5506.288281000,426.467949000,5511.000000000,426.000000000,5517.000000000,431.000000000,37.729702000
37.739708,51.751100000,5506.359453000,425.021154000,5510.000000000,426.000000000,5507.000000000,412.000000000,37.739708000
37.739725,51.751100000,5506.423508000,423.719039000,5509.000000000,426.000000000,5507.000000000,412.000000000,37.739725000
37.749659,51.751100000,5505.381157000,424.747135000,5508.000000000,426.500000000,5496.000000000,434.000000000,37.749659000
37.749674,51.751100000,5504.443041000,425.672421000,5507.000000000,427.000000000,5496.000000000,434.000000000,37.749674000
37.759683,51.751100000,5500.898737000,420.605179000,5506.000000000,427.000000000,5469.000000000,375.000000000,37.759683000
37.759698,51.751100000,5497.708863000,416.044661000,5505.000000000,427.000000000,5469.000000000,375.000000000,37.759698000
37.769665,51.751100000,5497.737977000,417.540195000,5503.500000000,428.500000000,5498.000000000,431.000000000,37.769665000
37.769696,51.751100000,5497.764179000,418.886176000,5502.000000000,430.000000000,5498.000000000,431.000000000,37.769696000
37.779807,51.751100000,5498.787761000,419.597558000,5502.000000000,428.500000000,5508.000000000,426.000000000,37.779807000
37.779835,51.749727000,5499.708985000,420.237802000,5502.000000000,427.000000000,5508.000000000,426.000000000,37.779835000
37.789696,51.749727000,5500.538087000,420.814022000,5503.500000000,427.000000000,5508.000000000,426.000000000,37.789696000
37.789725,51.749727000,5495.884278000,416.832620000,5503.500000000,427.000000000,5454.000000000,381.000000000,37.789725000
37.799603,51.749727000,5501.295850000,419.749358000,5505.000000000,427.000000000,5550.000000000,446.000000000,37.799603000
37.799617,51.752473000,5506.166265000,422.374422000,5506.000000000,427.000000000,5550.000000000,446.000000000,37.799617000
37.809681,51.752473000,5507.949639000,424.336980000,5507.000000000,427.000000000,5524.000000000,442.000000000,37.809681000
37.809737,51.751100000,5509.554675000,426.103282000,5507.500000000,427.000000000,5524.000000000,442.000000000,37.809737000
37.819775,51.751100000,5509.499207000,424.992954000,5508.000000000,427.000000000,5509.000000000,415.000000000,37.819775000
37.819836,51.751100000,5509.449287000,423.993658000,5508.000000000,427.000000000,5509.000000000,415.000000000,37.819836000
37.829656,51.751100000,5511.004358000,426.694292000,5508.000000000,427.000000000,5525.000000000,451.000000000,37.829656000
37.829673,51.749727000,5512.403922000,429.124863000,5508.000000000,427.000000000,5525.000000000,451.000000000,37.829673000
37.839663,51.749727000,5512.363530000,428.212377000,5508.000000000,426.500000000,5512.000000000,420.000000000,37.839663000
37.839684,51.752473000,5512.327177000,427.391139000,5508.000000000,426.000000000,5512.000000000,420.000000000,37.839684000
37.849735,51.752473000,5509.894459000,427.452025000,5508.000000000,426.500000000,5488.000000000,428.000000000,37.849735000
37.849773,51.751100000,5507.705013000,427.506823000,5508.000000000,427.000000000,5488.000000000,428.000000000,37.849773000
37.859621,51.751100000,5506.634512000,425.156140000,5508.000000000,426.500000000,5497.000000000,404.000000000,37.859621000
37.859635,51.751100000,5505.671061000,423.040526000,5507.500000000,426.000000000,5497.000000000,404.000000000,37.859635000
37.869654,51.751100000,5505.603955000,423.336474000,5507.500000000,426.000000000,5505.000000000,426.000000000,37.869654000
37.869679,51.751100000,5505.543559000,423.602826000,5507.500000000,426.000000000,5505.000000000,426.000000000,37.869679000
37.879708,51.751100000,5504.989203000,423.542544000,5507.500000000,426.000000000,5500.000000000,423.000000000,37.879708000
37.879741,51.751100000,5504.490283000,423.488289000,5507.500000000,426.000000000,5500.000000000,423.000000000,37.879741000
37.889526,51.751100000,5502.241255000,419.439460000,5507.500000000,426.000000000,5482.000000000,383.000000000,37.889526000
37.889539,51.749727000,5500.217129000,415.795514000,5507.500000000,426.000000000,5482.000000000,383.000000000,37.889539000
37.899625,51.749727000,5499.895416000,413.415963000,5507.000000000,426.000000000,5497.000000000,392.000000000,37.899625000
