__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
26.910022,34.992828000,5158.943944000,393.703609000,5161.000000000,404.000000000,5182.000000000,404.000000000,26.910022000
26.919986,34.992828000,5162.149550000,395.133248000,5163.000000000,404.000000000,5191.000000000,408.000000000,26.919986000
26.920023,34.994201000,5165.034595000,396.419924000,5165.000000000,405.000000000,5191.000000000,408.000000000,26.920023000
26.930036,34.994201000,5166.631135000,398.177931000,5165.500000000,405.000000000,5181.000000000,414.000000000,26.930036000
26.930090,34.994201000,5168.068022000,399.760138000,5166.000000000,405.000000000,5181.000000000,414.000000000,26.930090000
26.940024,34.994201000,5170.461219000,399.784124000,5167.000000000,404.000000000,5192.000000000,400.000000000,26.940024000
26.940040,34.995577000,5172.615098000,399.805712000,5168.000000000,404.000000000,5192.000000000,400.000000000,26.940040000
26.950036,34.995577000,5170.753588000,397.825141000,5167.000000000,404.000000000,5154.000000000,380.000000000,26.950036000
26.950080,34.992828000,5169.078229000,396.042627000,5166.000000000,404.000000000,5154.000000000,380.000000000,26.950080000
26.960004,34.992828000,5169.370406000,398.638364000,5167.000000000,404.000000000,5172.000000000,422.000000000,26.960004000
26.960047,34.992828000,5169.633365000,400.974528000,5168.000000000,404.000000000,5172.000000000,422.000000000,26.960047000
26.970092,34.992828000,5169.570029000,402.377075000,5168.000000000,404.000000000,5169.000000000,415.000000000,26.970092000
26.970145,34.992828000,5169.513026000,403.639367000,5168.000000000,404.000000000,5169.000000000,415.000000000,26.970145000
26.979937,34.992828000,5170.761723000,404.775431000,5168.000000000,404.000000000,5182.000000000,415.000000000,26.979937000
26.979971,34.994201000,5171.885551000,405.797888000,5168.000000000,404.000000000,5182.000000000,415.000000000,26.979971000
26.989934,34.994201000,5168.096996000,400.218099000,5168.000000000,404.000000000,5134.000000000,350.000000000,26.989934000
26.989966,34.994201000,5164.687296000,395.196289000,5168.000000000,404.000000000,5134.000000000,350.000000000,26.989966000
27.000108,34.994201000,5163.018567000,393.376660000,5168.000000000,404.000000000,5148.000000000,377.000000000,27.000108000
27.000154,34.994201000,5161.516710000,391.738994000,5168.000000000,404.000000000,5148.000000000,377.000000000,27.000154000
27.009951,34.994201000,5158.765039000,389.465095000,5167.000000000,404.000000000,5134.000000000,369.000000000,27.009951000
27.009968,34.992828000,5156.288535000,387.418585000,5166.000000000,404.000000000,5134.000000000,369.000000000,27.009968000
27.019804,34.992828000,5162.259682000,391.076727000,5167.000000000,404.000000000,5216.000000000,424.000000000,27.019804000
27.019828,34.992828000,5167.633713000,394.369054000,5168.000000000,404.000000000,5216.000000000,424.000000000,27.019828000
27.030075,34.992828000,5165.770342000,392.832149000,5167.000000000,402.000000000,5149.000000000,379.000000000,27.030075000
27.030120,34.994201000,5164.093308000,391.448934000,5166.000000000,400.000000000,5149.000000000,379.000000000,27.030120000
27.039988,34.994201000,5164.283977000,392.004040000,5166.000000000,398.500000000,5166.000000000,397.000000000,27.039988000
27.040004,34.994201000,5164.455579000,392.503636000,5166.000000000,397.000000000,5166.000000000,397.000000000,27.040004000
27.050004,34.994201000,5164.910021000,394.053273000,5166.000000000,398.500000000,5169.000000000,408.000000000,27.050004000
27.050040,34.994201000,5165.319019000,395.447945000,5166.000000000,400.000000000,5169.000000000,408.000000000,27.050040000
27.059988,34.994201000,5169.687117000,397.703151000,5166.000000000,402.000000000,5209.000000000,418.000000000,27.059988000
27.060018,34.992828000,5173.618406000,399.732836000,5166.000000000,404.000000000,5209.000000000,418.000000000,27.060018000
27.069878,34.992828000,5171.256565000,398.159552000,5166.000000000,402.000000000,5150.000000000,384.000000000,27.069878000
27.069918,34.992828000,5169.130909000,396.743597000,5166.000000000,400.000000000,5150.000000000,384.000000000,27.069918000
27.079917,34.992828000,5170.217818000,395.969237000,5166.000000000,400.000000000,5180.000000000,389.000000000,27.079917000
27.079955,34.992828000,5171.196036000,395.272314000,5166.000000000,400.000000000,5180.000000000,389.000000000,27.079955000
27.090038,34.992828000,5168.376432000,396.545082000,5166.000000000,400.000000000,5143.000000000,408.000000000,27.090038000
27.090087,34.994201000,5165.838789000,397.690574000,5166.000000000,400.000000000,5143.000000000,408.000000000,27.090087000
27.100051,34.994201000,5167.654910000,399.021517000,5167.000000000,402.000000000,5184.000000000,411.000000000,27.100051000
27.100094,34.994201000,5169.289419000,400.219365000,5168.000000000,404.000000000,5184.000000000,411.000000000,27.100094000
27.110015,34.994201000,5167.260477000,398.697428000,5167.000000000,402.000000000,5149.000000000,385.000000000,27.110015000
27.110032,34.994201000,5165.434430000,397.327686000,5166.000000000,400.000000000,5149.000000000,385.000000000,27.110032000
27.119974,34.994201000,5163.190987000,394.794917000,5166.000000000,400.000000000,5143.000000000,372.000000000,27.119974000
27.120009,34.992828000,5161.171888000,392.515425000,5166.000000000,400.000000000,5143.000000000,372.000000000,27.120009000
27.130058,34.992828000,5161.954699000,395.263883000,5167.500000000,402.000000000,5169.000000000,420.000000000,27.130058000
27.130112,34.992828000,5162.659229000,397.737495000,5169.000000000,404.000000000,5169.000000000,420.000000000,27.130112000
27.140051,34.992828000,5168.493306000,403.763745000,5169.000000000,405.000000000,5221.000000000,458.000000000,27.140051000
27.140085,34.994201000,5173.743976000,409.187371000,5169.000000000,406.000000000,5221.000000000,458.000000000,27.140085000
27.149998,34.994201000,5173.669578000,406.568634000,5169.000000000,405.000000000,5173.000000000,383.000000000,27.149998000
27.150035,34.994201000,5173.602620000,404.211770000,5169.000000000,404.000000000,5173.000000000,383.000000000,27.150035000
27.160013,34.994201000,5172.242358000,402.490593000,5169.000000000,402.000000000,5160.000000000,387.000000000,27.160013000
27.160059,34.994201000,5171.018122000,400.941534000,5169.000000000,400.000000000,5160.000000000,387.000000000,27.160059000
27.169810,34.994201000,5167.016310000,394.247380000,5169.000000000,398.500000000,5131.000000000,334.000000000,27.169810000
27.169825,34.994201000,5163.414679000,388.222642000,5169.000000000,397.000000000,5131.000000000,334.000000000,27.169825000
27.179822,34.994201000,5163.073211000,387.500378000,5167.500000000,393.000000000,5160.000000000,381.000000000,27.179822000
27.179854,34.992828000,5162.765890000,386.850340000,5166.000000000,389.000000000,5160.000000000,381.000000000,27.179854000
27.190027,34.992828000,5161.089301000,386.265306000,5163.000000000,388.000000000,5146.000000000,381.000000000,27.190027000
27.190075,34.992828000,5159.580371000,385.738776000,5160.000000000,387.000000000,5146.000000000,381.000000000,27.190075000
27.199935,34.992828000,5160.222334000,382.164898000,5163.000000000,387.000000000,5166.000000000,350.000000000,27.199935000
27.199980,34.994201000,5160.800101000,378.948408000,5166.000000000,387.000000000,5166.000000000,350.000000000,27.199980000
27.209829,34.994201000,5158.020090000,372.153567000,5163.000000000,386.000000000,5133.000000000,311.000000000,27.209829000
27.209845,34.994201000,5155.518081000,366.038211000,5160.000000000,385.000000000,5133.000000000,311.000000000,27.209845000
27.219807,34.994201000,5153.466273000,360.734390000,5160.000000000,384.500000000,5135.000000000,313.000000000,27.219807000
27.219836,34.994201000,5151.619646000,355.960951000,5160.000000000,384.000000000,5135.000000000,313.000000000,27.219836000
27.229877,34.994201000,5147.757681000,349.364856000,5155.000000000,383.500000000,5113.000000000,290.000000000,27.229877000
27.229894,34.992828000,5144.281913000,343.428370000,5150.000000000,383.000000000,5113.000000000,290.000000000,27.229894000
27.239885,34.992828000,5144.353722000,340.785533000,5150.000000000,383.000000000,5145.000000000,317.000000000,27.239885000
27.239902,34.992828000,5144.418350000,338.406980000,5150.000000000,383.000000000,5145.000000000,317.000000000,27.239902000
27.249910,34.992828000,5141.776515000,339.466282000,5150.000000000,383.000000000,5118.000000000,349.000000000,27.249910000
27.249957,34.994201000,5139.398863000,340.419654000,5150.000000000,383.000000000,5118.000000000,349.000000000,27.249957000
27.259959,34.994201000,5144.158977000,344.477688000,5155.000000000,383.000000000,5187.000000000,381.000000000,27.259959000
27.260005,34.995577000,5148.443079000,348.129919000,5160.000000000,383.000000000,5187.000000000,381.000000000,27.260005000
27.269842,34.995577000,5149.298771000,350.916927000,5158.500000000,382.000000000,5157.000000000,376.000000000,27.269842000
27.269870,34.994201000,5150.068894000,353.425235000,5157.000000000,381.000000000,5157.000000000,376.000000000,27.269870000
27.279814,34.994201000,5155.062005000,357.182711000,5158.500000000,382.000000000,5200.000000000,391.000000000,27.279814000
27.279845,34.994201000,5159.555804000,360.564440000,5160.000000000,383.000000000,5200.000000000,391.000000000,27.279845000
27.289921,34.994201000,5157.500224000,360.607996000,5158.500000000,382.000000000,5139.000000000,361.000000000,27.289921000
27.289965,34.994201000,5155.650201000,360.647197000,5157.000000000,381.000000000,5139.000000000,361.000000000,27.289965000
27.299979,34.994201000,5156.285181000,359.982477000,5157.000000000,381.000000000,5162.000000000,354.000000000,27.299979000
27.300022,34.992828000,5156.856663000,359.384229000,5157.000000000,381.000000000,5162.000000000,354.000000000,27.300022000
27.309878,34.992828000,5152.270997000,352.845806000,5153.500000000,381.000000000,5111.000000000,294.000000000,27.309878000
27.309913,34.992828000,5148.143897000,346.961226000,5150.000000000,381.000000000,5111.000000000,294.000000000,27.309913000
27.319917,34.992828000,5142.929507000,339.765103000,5149.500000000,378.500000000,5096.000000000,275.000000000,27.319917000
27.319952,34.992828000,5138.236557000,333.288593000,5149.000000000,376.000000000,5096.000000000,275.000000000,27.319952000
27.329977,34.992828000,5137.712901000,333.159733000,5147.500000000,374.000000000,5133.000000000,332.000000000,27.329977000
27.330022,34.992828000,5137.241611000,333.043760000,5146.000000000,372.000000000,5133.000000000,332.000000000,27.330022000
27.339999,34.992828000,5138.417450000,340.739384000,5147.500000000,372.000000000,5149.000000000,410.000000000,27.339999000
27.340034,34.994201000,5139.475705000,347.665446000,5149.000000000,372.000000000,5149.000000000,410.000000000,27.340034000
27.349806,34.994201000,5135.128134000,346.498901000,5147.500000000,366.500000000,5096.000000000,336.000000000,27.349806000
27.349838,34.994201000,5131.215321000,345.449011000,5146.000000000,361.000000000,5096.000000000,336.000000000,27.349838000
27.359879,34.994201000,5131.493789000,351.604110000,5145.500000000,361.000000000,5134.000000000,407.000000000,27.359879000
27.359915,34.995577000,5131.744410000,357.143699000,5145.000000000,361.000000000,5134.000000000,407.000000000,27.359915000
27.369677,34.995577000,5133.969969000,359.829329000,5145.500000000,361.000000000,5154.000000000,384.000000000,27.369677000
27.369692,34.994201000,5135.972972000,362.246396000,5146.000000000,361.000000000,5154.000000000,384.000000000,27.369692000
27.379787,34.994201000,5137.375675000,358.521757000,5146.000000000,357.500000000,5150.000000000,325.000000000,27.379787000
