__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/w
1782808494.720482,0.000000000,0.378203379,1.132951641,0.863092909,0.323849948,0.000239476,36413.158184352,3.303916294,2.639311356
1782808494.730301,0.000000000,0.378255241,1.132955589,0.863052601,0.323870027,0.000239388,35174.945928322,3.303610462,2.548867368
1782808494.740189,0.000000000,0.378273294,1.132956956,0.863036469,0.323891768,0.000239301,32736.474873962,3.303304562,2.371522103
1782808494.750435,0.000000000,0.378265800,1.132956389,0.863036469,0.323929858,0.000239155,31089.045426088,3.302794323,2.251152292
1782808494.760661,0.000000000,0.378262804,1.132956162,0.863036469,0.323945081,0.000239096,29902.616501719,3.302590276,2.164848787
1782808494.770493,0.000000000,0.378268074,1.132956561,0.863028407,0.323974978,0.000238980,28307.898851460,3.302181837,2.048649268
1782808494.780465,0.000000000,0.378289870,1.132958208,0.863012271,0.323977670,0.000238965,27511.107505179,3.302130805,1.990894549
1782808494.790504,0.000000000,0.378301134,1.132959057,0.863004208,0.323977115,0.000238965,25407.054320270,3.302130805,1.838630667
1782808494.800353,0.000000000,0.378302632,1.132959169,0.863004208,0.323969508,0.000238994,22443.096679961,3.302232867,1.624286186
1782808494.810358,0.000000000,0.378291368,1.132958321,0.863012271,0.323970064,0.000238994,21201.818048880,3.302232867,1.534450467
1782808494.820457,0.000000000,0.378290619,1.132958264,0.863012271,0.323973867,0.000238980,20713.521897264,3.302181837,1.499042430
1782808494.830514,0.000000000,0.378295116,1.132958603,0.863012271,0.323951024,0.000239067,20198.872634730,3.302488241,1.462197175
1782808494.840403,0.000000000,0.378273321,1.132956958,0.863028407,0.323948330,0.000239082,18923.852506975,3.302539260,1.369960823
1782808494.850245,0.000000000,0.378284586,1.132957809,0.863020344,0.323947775,0.000239082,17753.880353500,3.302539260,1.285262635
1782808494.860451,0.000000000,0.378287582,1.132958035,0.863020344,0.323932553,0.000239140,16953.074664850,3.302743314,1.227513247
1782808494.870267,0.000000000,0.378289080,1.132958148,0.863020344,0.323924941,0.000239169,15984.237314584,3.302845330,1.157468504
1782808494.880468,0.000000000,0.378275568,1.132957128,0.863028407,0.323936914,0.000239126,14542.758489096,3.302692303,1.052942673
1782808494.890479,0.000000000,0.378277066,1.132957241,0.863028407,0.323929303,0.000239155,13184.361550881,3.302794323,0.954677293
1782808494.900505,0.000000000,0.378279313,1.132957411,0.863028407,0.323917884,0.000239199,12211.646928673,3.302947339,0.884363983
1782808494.910467,0.000000000,0.378258279,1.132955820,0.863044530,0.323911381,0.000239228,10972.308647102,3.303049340,0.794683804
1782808494.920425,0.000000000,0.378260526,1.132955990,0.863044530,0.323899959,0.000239271,8866.747464498,3.303202327,0.642273469
1782808494.930487,0.000000000,0.378252245,1.132955362,0.863052601,0.323885264,0.000239330,6836.370184339,3.303406537,0.495290905
1782808494.940435,0.000000000,0.378257488,1.132955760,0.863052601,0.323858598,0.000239432,6304.570198083,3.303763387,0.456907756
1782808494.950251,0.000000000,0.378248468,1.132955075,0.863060662,0.323847723,0.000239476,6318.147989570,3.303916294,0.457954228
1782808494.960411,0.000000000,0.378239448,1.132954390,0.863068722,0.323836846,0.000239519,6323.967810094,3.304069184,0.458438570
1782808494.970397,0.000000000,0.378222144,1.132953073,0.863084850,0.323811255,0.000239621,6261.426629608,3.304426115,0.454049308
1782808494.980521,0.000000000,0.378223643,1.132953188,0.863084850,0.323803628,0.000239651,6223.747632854,3.304528006,0.451358003
1782808494.990581,0.000000000,0.378204849,1.132951753,0.863100967,0.323785672,0.000239724,6227.628792093,3.304782700,0.451742024
1782808495.000283,0.000000000,0.378173273,1.132949335,0.863125148,0.323775879,0.000239767,6186.061489138,3.304935747,0.448788013
1782808495.010431,0.000000000,0.378131163,1.132946090,0.863157379,0.323762844,0.000239826,6123.532574229,3.305139445,0.444332300
1782808495.020554,0.000000000,0.378121386,1.132945334,0.863165433,0.323755769,0.000239855,6080.026047757,3.305241283,0.441215439
1782808495.030394,0.000000000,0.378111610,1.132944577,0.863173487,0.323748693,0.000239884,6083.908639292,3.305343113,0.441537249
1782808495.040396,0.000000000,0.378092040,1.132943057,0.863189603,0.323734539,0.000239942,6087.791435368,3.305546750,0.441899202
1782808495.050290,0.000000000,0.378060440,1.132940594,0.863213767,0.323724756,0.000239986,6095.557641144,3.305699458,0.442523124
1782808495.060704,0.000000000,0.378050664,1.132939830,0.863221818,0.323717657,0.000240015,6101.382832395,3.305801507,0.442986282
1782808495.070479,0.000000000,0.378041633,1.132939123,0.863229868,0.323706758,0.000240059,6088.185844841,3.305954187,0.442088233
1782808495.080451,0.000000000,0.378008523,1.132936522,0.863254025,0.323704610,0.000240074,6094.011803885,3.306005076,0.442531334
1782808495.090552,0.000000000,0.377986706,1.132934802,0.863270121,0.323701903,0.000240088,5993.411700664,3.306055964,0.435245737
1782808495.100295,0.000000000,0.377986706,1.132934802,0.863270121,0.323701903,0.000240088,5858.630917965,3.306055964,0.425457863
1782808495.110355,0.000000000,0.377998740,1.132935751,0.863262073,0.323697528,0.000240103,5756.088726126,3.306106849,0.418030118
1782808495.120515,0.000000000,0.377988206,1.132934920,0.863270121,0.323694265,0.000240117,5758.030917015,3.306157733,0.418190115
1782808495.130361,0.000000000,0.377976908,1.132934027,0.863278178,0.323694822,0.000240117,5759.973159039,3.306157733,0.418331175
1782808495.140246,0.000000000,0.377976908,1.132934027,0.863278178,0.323694822,0.000240117,5759.973159039,3.306157733,0.418331175
1782808495.150426,0.000000000,0.377978408,1.132934146,0.863278178,0.323687182,0.000240146,5708.702063120,3.306259495,0.414645061
1782808495.160458,0.000000000,0.377954336,1.132932238,0.863294271,0.323695935,0.000240117,5712.586700574,3.306157733,0.414889625
1782808495.170212,0.000000000,0.377944550,1.132931461,0.863302317,0.323688852,0.000240146,5657.430967200,3.306259495,0.410921044
1782808495.180227,0.000000000,0.377945300,1.132931520,0.863302317,0.323685032,0.000240161,7050.518156002,3.306310373,0.512129540
1782808495.190187,0.000000000,0.377958087,1.132932536,0.863294271,0.323676834,0.000240190,9479.292424963,3.306412123,0.688611153
1782808495.200434,0.000000000,0.377946801,1.132931640,0.863302317,0.323677391,0.000240190,10464.652633977,3.306412123,0.760191394
1782808495.210381,0.000000000,0.377937754,1.132930920,0.863310372,0.323666466,0.000240234,13492.088773996,3.306564987,0.980249024
1782808495.220190,0.000000000,0.377927217,1.132930081,0.863318416,0.323663201,0.000240248,14459.869657651,3.306615854,1.050609370
1782808495.230473,0.000000000,0.377928717,1.132930201,0.863318416,0.323655558,0.000240278,16109.811871851,3.306717581,1.170595048
1782808495.240255,0.000000000,0.377917429,1.132929300,0.863326461,0.323656115,0.000240278,18928.724744315,3.306717581,1.375427077
1782808495.250408,0.000000000,0.377897087,1.132927674,0.863342557,0.323645762,0.000240321,20491.272429486,3.306870159,1.489169433
1782808495.260241,0.000000000,0.377897087,1.132927674,0.863342557,0.323645762,0.000240321,21857.005932847,3.306870159,1.588421863
1782808495.270427,0.000000000,0.377908391,1.132928578,0.863334504,0.323645205,0.000240321,23004.501889145,3.306870159,1.671814239
1782808495.280476,0.000000000,0.377897838,1.132927734,0.863342557,0.323641940,0.000240336,25372.738224482,3.306921014,1.844005359
1782808495.290436,0.000000000,0.377898588,1.132927794,0.863342557,0.323638117,0.000240350,27701.412396240,3.306971867,2.013336680
1782808495.300437,0.000000000,0.377899339,1.132927854,0.863342557,0.323634294,0.000240365,28697.038125221,3.307022719,2.085793065
1782808495.310344,0.000000000,0.377900089,1.132927914,0.863342557,0.323630470,0.000240380,30603.336228101,3.307073568,2.224449588
1782808495.320244,0.000000000,0.377899339,1.132927854,0.863342557,0.323634294,0.000240365,31833.344212129,3.307022719,2.313749882
1782808495.330235,0.000000000,0.377888048,1.132926950,0.863350600,0.323634850,0.000240365,32204.947605402,3.307022719,2.340759212
1782808495.340232,0.000000000,0.377888048,1.132926950,0.863350600,0.323634850,0.000240365,32400.266066048,3.307022719,2.354955587
1782808495.350516,0.000000000,0.377898588,1.132927794,0.863342557,0.323638117,0.000240350,32798.227429615,3.306971867,2.383772833
1782808495.360194,0.000000000,0.377887298,1.132926890,0.863350600,0.323638673,0.000240350,33323.644161782,3.306971867,2.421960084
1782808495.370403,0.000000000,0.377887298,1.132926890,0.863350600,0.323638673,0.000240350,34046.322466174,3.306971867,2.474484292
1782808495.380438,0.000000000,0.377897838,1.132927734,0.863342557,0.323641940,0.000240336,34583.448232951,3.306921014,2.513408814
1782808495.390561,0.000000000,0.377886547,1.132926830,0.863350600,0.323642496,0.000240336,34679.164402832,3.306921014,2.520365144
1782808495.400721,0.000000000,0.377886547,1.132926830,0.863350600,0.323642496,0.000240336,35230.939054158,3.306921014,2.560466271
1782808495.410275,0.000000000,0.377874505,1.132925863,0.863358642,0.323646875,0.000240321,35982.915127646,3.306870159,2.614999019
1782808495.420502,0.000000000,0.377874505,1.132925863,0.863358642,0.323646875,0.000240321,36447.294943132,3.306870159,2.648747056
1782808495.430281,0.000000000,0.377885046,1.132926709,0.863350600,0.323650141,0.000240307,36720.740788037,3.306819301,2.668498505
1782808495.440203,0.000000000,0.377883545,1.132926589,0.863350600,0.323657785,0.000240278,36862.845194591,3.306717581,2.678582742
1782808495.450447,0.000000000,0.377870753,1.132925562,0.863358642,0.323665985,0.000240248,37618.259947415,3.306615854,2.733226324
1782808495.460566,0.000000000,0.377881293,1.132926408,0.863350600,0.323669249,0.000240234,38456.685250555,3.306564987,2.794017206
1782808495.470428,0.000000000,0.377880539,1.132926348,0.863350600,0.323673090,0.000240219,38982.102391804,3.306513866,2.832061784
1782808495.480353,0.000000000,0.377900883,1.132927978,0.863334504,0.323683438,0.000240176,38877.607883800,3.306361249,2.824086518
1782808495.490509,0.000000000,0.377910671,1.132928761,0.863326461,0.323690522,0.000240146,38786.328410760,3.306259495,2.817200713
